Rosas;Rojo;Descripcion 1
Girasoles;Amarillo;Descripcion 2
Dondiego de noche;Fucsia;Descripcion 3
Dondiego de noche;Magenta;Descripcion 4
Dondiego de noche;Amarillo;Descripcion 5
Hortensias;Variado;Descripcion 6
Petunias;Rosa;Descripcion 7
Petunias;Rojo;Descripcion 8
Petunias;Variado;Descripcion 9
Gladiolos;Variado;Descripcion 10
Nomeolvides;Azul claro;Descripcion 11
Cactus de navidad;Rojo;Descripcion 12
Cactus de navidad;Fucsia;Descripcion 13
Cactus de navidad;Blanco;Descripcion 14
Ave del paraiso;Naranja;Descripcion 15
Ave del paraiso;Azul;Descripcion 16
Jacintos;Variado;Descripcion 17
Aguileña;Rosa;Descripcion 18
Aguileña;Violeta;Descripcion 19
Aguileña;Variado;Descripcion 20
Boca de dragon;Blanco;Descripcion 21
Boca de dragon;Variado;Descripcion 22
